FEEDING REGIME, Concentrates (kg/head), Hay (kg/head), Grass Silage (kg/head), Wheat Silage (kg/head), Maize Silage (kg/head)
Confined Cows, 4, 0, 40, 10, 3
Grazing Cows, 3, 0, 20, 5, 0
Target Yield (litres/head/yr), 6000

GRAZING PLAN, Time, Action ID
1, 22, 1816
1, 34, 1817
2, 12, 1816
2, 43, 1817
3, 17, 1816
3, 40, 1817
4, 17, 1816
4, 40, 1817

FIELD GROUPS, Fields...
0, 1, 8, 23, 27
1, 0, 9, 21, 24
2, 5, 14, 22, 40
3, 7, 11, 15, 16, 19, 20, 29, 30, 37
4, 17, 25, 32, 33, 35, 39
5, 13, 26, 28, 31, 34, 36
6, 2, 3, 4, 38

CROPPING PLAN, Time, Action ID, Quantity
0, 7, 1811, 4000
0, 18, 1814
0, 23, 1809
0, 28, 1810
0, 31, 1809
0, 37, 1810
0, 45, 1811, 4000
1, 5, 1811, 4000
1, 12, 1809
1, 17, 1810
1, 20, 1809
1, 25, 1810
1, 28, 1809
1, 34, 1810
1, 39, 1809
1, 43, 1810
1, 47, 1811, 4000
2, 9, 1811, 4000
2, 13, 1814
2, 17, 1809
2, 22, 1810
2, 25, 1809
2, 31, 1810
2, 34, 1809
2, 39, 1810
2, 43, 1811, 4000
3, 7, 1811, 1000
3, 9, 1814
3, 10, 1815
3, 11, 1808
3, 33, 1814
3, 34, 1806
3, 37, 1809
3, 44, 1810
4, 3, 1811, 1000
4, 12, 1814
4, 13, 1815
4, 14, 1811, 1000
4, 15, 1807
4, 35, 1814
4, 36, 1806
4, 38, 1811, 1000
4, 45, 1811, 1000
5, 9, 1809
5, 14, 1810
5, 18, 1811, 1000
5, 20, 1814
5, 21, 1815
5, 22, 1808
5, 38, 1814
5, 41, 1811, 1000
5, 42, 1806
6, 4, 1811, 500
6, 15, 1811, 500
6, 20, 1814
6, 28, 1814
6, 29, 1811, 500
6, 36, 1814
6, 39, 1811, 500
6, 43, 1815
6, 44, 1806

